City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Bengaluru,2015-05-03,62.58,,5.03,15.2,10.05,14.62,1.32,7.47,17.81,37.56,11.01,,64.0,Satisfactory
Bengaluru,2015-05-04,45.26,,5.21,25.81,15.91,18.09,4.17,6.79,21.39,39.17,12.63,,162.0,Moderate
Bengaluru,2015-05-05,40.37,,9.03,20.7,13.3,5.94,0.0,8.6,36.56,37.07,9.99,,75.0,Satisfactory
Bengaluru,2015-05-06,43.21,,8.24,17.15,10.79,10.23,28.28,11.77,80.02,33.74,11.02,,141.0,Moderate
Bengaluru,2015-05-07,41.53,,5.74,20.41,14.16,15.4,0.5,4.67,31.73,22.24,6.38,,70.0,Satisfactory
Bengaluru,2015-05-08,27.85,,5.82,17.29,11.04,14.93,4.82,7.18,88.24,9.51,2.65,,142.0,Moderate
Bengaluru,2015-05-09,36.83,,4.6,24.35,13.81,17.12,23.56,6.64,39.61,6.11,3.89,,140.0,Moderate
Bengaluru,2015-05-10,40.81,,6.5,29.77,14.91,14.21,2.57,3.46,32.11,5.2,1.96,,71.0,Satisfactory
Bengaluru,2015-05-11,36.11,,6.97,29.38,17.29,15.84,0.3,11.84,14.0,4.94,1.55,,66.0,Satisfactory
Bengaluru,2015-05-12,28.76,,8.95,29.1,18.34,15.13,,2.96,15.17,4.67,1.66,,56.0,Satisfactory
Bengaluru,2015-05-13,40.74,,8.61,32.27,20.96,14.66,0.0,2.77,7.96,4.9,1.37,,45.0,Good
Bengaluru,2015-05-14,23.77,,6.77,33.12,20.16,14.28,1.19,2.83,12.14,4.88,1.84,,61.0,Satisfactory
Bengaluru,2015-05-15,17.34,,5.26,22.13,14.1,18.55,2.06,3.08,12.14,5.66,2.25,,70.0,Satisfactory
Bengaluru,2015-05-16,30.45,,5.23,32.24,18.53,24.08,1.19,3.9,8.48,4.66,1.45,,59.0,Satisfactory
Bengaluru,2015-05-17,15.8,,5.08,22.62,11.25,14.2,12.23,5.8,21.44,4.22,2.05,,125.0,Moderate
Bengaluru,2015-05-18,20.12,,6.65,22.49,13.5,13.27,12.77,5.83,32.76,4.24,1.84,,106.0,Moderate
Bengaluru,2015-05-19,25.27,,10.97,31.22,20.24,17.26,1.14,3.92,37.13,4.19,1.16,,84.0,Satisfactory
Bengaluru,2015-05-20,26.7,,4.76,32.48,16.97,15.5,1.26,4.24,36.42,4.1,1.1,,57.0,Satisfactory
Bengaluru,2015-05-21,27.84,,6.01,17.97,9.15,13.64,1.21,4.38,25.96,4.18,1.19,,56.0,Satisfactory
Bengaluru,2015-05-22,29.52,,5.09,17.88,8.93,12.62,10.68,4.89,28.02,4.64,2.01,,140.0,Moderate
Bengaluru,2015-05-23,27.97,,6.23,23.45,13.42,11.58,17.21,12.38,22.59,5.16,3.92,,156.0,Moderate
Bengaluru,2015-05-24,28.17,,4.91,17.13,10.15,5.01,9.13,3.98,23.52,4.39,1.3,,156.0,Moderate
