location_id,location_name,city,latitude,longitude,sensor_id,parameter,units,unit_priority
3409318,"Central School, Lucknow - CPCB",Lucknow,26.8821003,80.9302753,12235477,pm10,µg/m³,0
3409318,"Central School, Lucknow - CPCB",Lucknow,26.8821003,80.9302753,12235478,pm25,µg/m³,0
5613,"ITO, New Delhi - CPCB",Delhi,28.628624,77.24106,14866,no2,µg/m³,0
5613,"ITO, New Delhi - CPCB",Delhi,28.628624,77.24106,12234751,o3,µg/m³,0
5613,"ITO, New Delhi - CPCB",Delhi,28.628624,77.24106,12234752,pm10,µg/m³,0
5613,"ITO, New Delhi - CPCB",Delhi,28.628624,77.24106,14878,pm25,µg/m³,0
5613,"ITO, New Delhi - CPCB",Delhi,28.628624,77.24106,17781,so2,µg/m³,0
5622,"NSIT Dwarka, Delhi - CPCB",Delhi,28.60909,77.0325413,14916,co,µg/m³,0
5622,"NSIT Dwarka, Delhi - CPCB",Delhi,28.60909,77.0325413,14919,no2,µg/m³,0
3409319,"Alandur Bus Depot, Chennai - CPCB",Chennai,12.9099161,80.1076538,12235547,o3,µg/m³,0
229404,"Kukrail Picnic Spot-1, Lucknow - UPPCB",Lucknow,26.90723,80.98579000000001,1321499,o3,µg/m³,0
229404,"Kukrail Picnic Spot-1, Lucknow - UPPCB",Lucknow,26.90723,80.98579000000001,12236629,pm10,µg/m³,0
229404,"Kukrail Picnic Spot-1, Lucknow - UPPCB",Lucknow,26.90723,80.98579000000001,1321498,pm25,µg/m³,0
5622,"NSIT Dwarka, Delhi - CPCB",Delhi,28.60909,77.0325413,12234742,o3,µg/m³,0
5622,"NSIT Dwarka, Delhi - CPCB",Delhi,28.60909,77.0325413,34957,pm10,µg/m³,0
5622,"NSIT Dwarka, Delhi - CPCB",Delhi,28.60909,77.0325413,14922,pm25,µg/m³,0
5622,"NSIT Dwarka, Delhi - CPCB",Delhi,28.60909,77.0325413,14923,so2,µg/m³,0
5626,"DTU, New Delhi - CPCB",Delhi,28.7500499,77.1112615,14933,co,µg/m³,0
229404,"Kukrail Picnic Spot-1, Lucknow - UPPCB",Lucknow,26.90723,80.98579000000001,1321495,so2,µg/m³,0
3409312,"BWSSB Kadabesanahalli, Bengaluru - CPCB",Bengaluru,12.9352049,77.6814488,14406994,o3,µg/m³,0
227386,"B R Ambedkar University, Lucknow - UPPCB",Lucknow,26.766433000000003,80.927299,12236619,o3,µg/m³,0
227386,"B R Ambedkar University, Lucknow - UPPCB",Lucknow,26.766433000000003,80.927299,12236620,pm10,µg/m³,0
227386,"B R Ambedkar University, Lucknow - UPPCB",Lucknow,26.766433000000003,80.927299,12236621,pm25,µg/m³,0
227386,"B R Ambedkar University, Lucknow - UPPCB",Lucknow,26.766433000000003,80.927299,1311828,so2,µg/m³,0
5626,"DTU, New Delhi - CPCB",Delhi,28.7500499,77.1112615,14941,no2,µg/m³,0
5626,"DTU, New Delhi - CPCB",Delhi,28.7500499,77.1112615,14949,o3,µg/m³,0
5626,"DTU, New Delhi - CPCB",Delhi,28.7500499,77.1112615,14974,pm10,µg/m³,0
5626,"DTU, New Delhi - CPCB",Delhi,28.7500499,77.1112615,14985,pm25,µg/m³,0
5626,"DTU, New Delhi - CPCB",Delhi,28.7500499,77.1112615,17766,so2,µg/m³,0
229404,"Kukrail Picnic Spot-1, Lucknow - UPPCB",Lucknow,26.90723,80.98579000000001,1321500,co,µg/m³,0
229404,"Kukrail Picnic Spot-1, Lucknow - UPPCB",Lucknow,26.90723,80.98579000000001,1321497,no2,µg/m³,0
60661,"Siddharth Nagar-Worli, Mumbai - IITM",Mumbai,19.000083,72.813993,389777,o3,µg/m³,0
60661,"Siddharth Nagar-Worli, Mumbai - IITM",Mumbai,19.000083,72.813993,389771,pm10,µg/m³,0
5627,"CRRI Mathura Road, New Delhi - IMD",Delhi,28.5512005,77.2735737,15098,co,µg/m³,0
