location_id,name,locality,latitude,longitude,sensor_ids,parameters,is_mobile,is_monitor,provider,city
6960,"Patparganj, Delhi - DPCC",,28.623748,77.287205,"[12235096, 12235097, 20037, 12235098, 14340769, 12235099, 20039, 12235100, 20040, 12235101, 20049, 12235102, 20055, 12235103, 12235104, 14340770, 14340771]","['co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Delhi
6965,"Borivali East, Mumbai - MPCB",,19.227474,72.864394,"[12252653, 20075, 12252654, 12252655, 20081, 14341949, 20084, 12252656, 20085, 12252657, 12252658, 20087, 12252659, 20090, 12252660, 12252661, 14341950, 14341951]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Mumbai
6967,"Sion, Mumbai - MPCB",,19.047,72.8746,"[20109, 12243925, 12243926, 12243927, 20107, 14340938, 20098, 12243928, 20097, 12243929, 12243930, 20096, 12243931, 12243932, 20095, 12243933, 14340939, 14340940]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Mumbai
6973,"Jayanagar 5th Block, Bengaluru - KSPCB",,12.920984,77.584908,"[20173, 12235262, 12235263, 12235264, 20175, 14340802, 12235265, 20155, 20172, 12235266, 20162, 12235267, 12235268, 12235269, 20152, 12235270, 14340803, 14340804]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Bengaluru
6974,"Bapuji Nagar, Bengaluru - KSPCB",,12.951913,77.539784,"[20153, 12235235, 12235236, 12235237, 20169, 14340793, 12235238, 20167, 12235239, 20166, 12235240, 20165, 12235241, 20164, 12235242, 12235243, 14340794, 14340795]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Bengaluru
6975,"Silk Board, Bengaluru - KSPCB",,12.917348,77.622813,"[12235280, 20171, 12235281, 20154, 12235282, 14340805, 12235283, 20168, 12235284, 20161, 12235285, 20156, 12235286, 20176, 12235287, 12235288, 14340806, 14340807]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Bengaluru
6981,"Fort William, Kolkata - WBPCB",,22.55664,88.342674,"[20228, 12235873, 12235874, 12235875, 20226, 14341943, 12235876, 20214, 20211, 12235877, 12235878, 20203, 12235879, 20190, 12235880, 12235881, 14341944, 14341945]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Kolkata
6983,"Hombegowda Nagar, Bengaluru - KSPCB",,12.938539,77.5901,"[20195, 12235253, 12235254, 12235255, 20196, 14340799, 12235256, 20197, 12235257, 20198, 12235258, 20199, 12235259, 20200, 12235260, 12235261, 14340800, 14340801]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Bengaluru
6984,"Hebbal, Bengaluru - KSPCB",,13.029152,77.585901,"[12235244, 20224, 12235245, 12235246, 20222, 14340796, 12235247, 20221, 12235248, 20213, 20212, 12235249, 12235250, 12235251, 20210, 12235252, 14340797, 14340798]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Bengaluru
6987,"Vile Parle West, Mumbai - MPCB",,19.10861,72.83622,"[12235846, 20236, 12235847, 12235848, 20239, 14340925, 20240, 12235849, 20243, 12235850, 12235851, 20251, 12235852, 12235853, 20254, 12235854, 14340926, 14340927]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Mumbai
7044,"R K Puram, Delhi - DPCC",,28.563262000000005,77.186937,"[20410, 20409, 20406, 20407, 20411, 20408]","['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']",False,True,caaqm,Delhi
7140,"Gomti Nagar, Lucknow - UPPCB",,26.86812,81.005119,"[20574, 12235980, 12235981, 12235982, 36690, 14340953, 12235983, 36688, 1348528, 12235984, 36687, 12235985, 12235986, 36671, 12235987, 12235988, 14340954, 14340955]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Lucknow
7434,"East Arjun Nagar, Delhi - CPCB",,28.655601699999995,77.2859318,"[21624, 21625, 21623]","['no2', 'o3', 'so2']",False,True,caaqm,Delhi
7495,"DRM Office Danapur, Patna - BSPCB",,25.586562,85.043586,"[21729, 12236186, 12236187, 12236188, 21730, 14342014, 12236189, 21731, 21732, 12236190, 12236191, 21733, 12236192, 21734, 12236193, 12236194, 14342015, 14342016]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Patna
7850,"Bandra, Mumbai - MPCB",,19.0627,72.84614,"[36455, 36453, 36451, 22798, 36447, 36446]","['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']",False,True,caaqm,Mumbai
8039,Mumbai,India,19.07283,72.88261,[23320],['pm25'],False,True,AirNow,Mumbai
8092,"East Arjun Nagar, Delhi - CPCB",,28.655935,77.294904,"[23669, 23465, 34750]","['no2', 'o3', 'so2']",False,True,caaqm,Delhi
8118,New Delhi,India,28.63576,77.22445,[23534],['pm25'],False,True,AirNow,Delhi
8172,US Diplomatic Post: Kolkata,Kolkata,22.56263,88.36304,[5077640],['pm25'],False,True,StateAir Kolkata,Kolkata
8235,"Jahangirpuri, Delhi - DPCC",,28.73282,77.170633,"[23993, 12235024, 12235025, 23994, 12235026, 14340746, 23995, 12235027, 23996, 12235028, 12235029, 23997, 12235030, 23998, 12235031, 12235032, 14340747, 14340748]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Delhi
8239,"Okhla Phase-2, Delhi - DPCC",,28.530785,77.271255,"[12235069, 24010, 12235070, 24008, 12235071, 14340761, 12235072, 24012, 24011, 12235073, 24007, 12235074, 12235075, 24009, 12235076, 12235077, 14340762, 14340763]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Delhi
