location_id,name,locality,latitude,longitude,sensor_ids,parameters,is_mobile,is_monitor,provider
5408,"Secretariat, Amaravati - APPCB",,16.5150833,80.5181667,"[12234943, 12234944, 12234945, 14340731, 12234946, 12234947, 12234948, 12234949, 12234950, 12234951, 14340732, 14340733]","['co', 'no', 'no2', 'nox', 'o3', 'pm10', 'pm25', 'relativehumidity', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB
5443,"Mahakaleshwar Temple, Ujjain - MPPCB",,23.182719,75.768218,"[12234898, 14326, 12234899, 14327, 12234900, 14341757, 14328, 12234901, 12234902, 14330, 12234903, 14331, 12234904, 14329, 12234905, 12234906, 14341758, 14341759]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB
5505,"Birla Staff colony, Satna - MPPCB",,24.5908256,80.8574279,"[14511, 14512, 14509, 14510]","['co', 'pm10', 'pm25', 'so2']",False,True,data.gov.in
5509,"Anand Vihar, Delhi - DPCC",,28.647622000000002,77.315809,"[14519, 14523, 14524, 14522, 14521, 14520]","['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']",False,True,caaqm
5540,"Punjabi Bagh, Delhi - DPCC",,28.6670856,77.1301247,"[14616, 14613, 14614, 14612, 14617, 14615]","['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']",False,True,caaqm
5541,"Burari Crossing, New Delhi - IMD",,28.7256504,77.2011573,"[14958, 12234679, 12234680, 14936, 12234681, 14340697, 12234682, 14931, 14620, 12234683, 14912, 12234684]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25']",False,True,CPCB
5542,"Civil Line, Jalandhar - PPCB",,31.321907,75.578914,"[15124, 12235146, 12235147, 12235148, 15133, 14341780, 15150, 12235149, 12235150, 15187, 15192, 12235151, 12235152, 12235153, 14623, 12235154, 14341781, 14341782]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB
5544,"Model Town, Patiala - PPCB",,30.349388,76.366642,"[12235137, 14874, 12235138, 12235139, 14852, 14341777, 14848, 12235140, 12235141, 15260, 12235142, 15243, 12235143, 14629, 12235144, 12235145, 14341778, 14341779]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB
5546,Tata Stadium - Jorapokhar - JSPCB,,23.707909,86.41467,"[14780, 12242969, 12242970, 12242971, 14633, 14782, 12242972, 14643, 12242973, 12242974, 22695, 12242975, 14632, 12242976, 12242977, 15732840, 15732841]","['co', 'co', 'no', 'no2', 'no2', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB
5547,"BWSSB Kadabesanahalli, Bengaluru - CPCB",,12.9352049,77.6814488,"[14637, 14636, 14640, 1303004, 14641, 14634]","['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']",False,True,caaqm
5548,"BTM Layout, Bengaluru - CPCB",,12.9135218,77.5950804,"[14657, 12235356, 12235357, 12235358, 14639, 14341816, 12235359, 14658, 12235360, 1305377, 14635, 12235361, 12235362, 12235363, 14642, 12235364, 14341817, 14341818]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB
5551,"Golden Temple, Amritsar - PPCB",,31.62,74.876512,"[12235438, 15062, 12235439, 15067, 12235440, 14341834, 14659, 12235441, 12235442, 15083, 12235443, 15088, 12235444, 15108, 12235445, 12235446, 14341835, 14341836]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB
5552,"MD University, Rohtak - HSPCB",,28.870083,76.6205,"[14670, 14668, 14667, 14660, 14669]","['co', 'no2', 'o3', 'pm25', 'so2']",False,True,caaqm
5558,"Alandur Bus Depot, Chennai - CPCB",,12.909916100000002,80.1076538,"[14690, 14681, 14689, 1305373, 14680, 14682]","['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']",False,True,caaqm
5559,"Collectorate, Gaya - BSPCB",,24.7955,84.9994,"[14738, 12242115, 12235349, 14685, 12235350, 14340826, 14744, 12235351, 12235352, 14683, 12235353, 12235354, 14684, 12235355, 14340827, 14340828]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB
5565,"MIDC Khutala, Chandrapur - MPCB",,19.9775302,79.2337086,"[14766, 12235551, 12235552, 12235553, 14704, 14340858, 12235554, 14764, 12235555, 14703, 12235556, 14702, 12235557, 14701, 12235558, 12235559, 14340859, 14340860]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB
5566,"Talcher Coalfields,Talcher - OSPCB",,20.9360711,85.1707021,"[14737, 12234952, 12234953, 14705, 12234954, 14341763, 14742, 12234955, 12234956, 14741, 14743, 12234957, 12234958, 14739, 12234959, 12234960, 14341764, 14341765]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB
5569,"Punjab Agricultural University, Ludhiana - PPCB",,30.9028,75.8086,"[12235421, 14832, 12235422, 12235423, 14831, 14341828, 14715, 12235424, 14827, 12235425, 14826, 12235426, 12235427, 12235428, 14824, 14341829, 14341830]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'wind_direction', 'wind_speed']",False,True,CPCB
5570,"Aya Nagar, New Delhi - IMD",,28.474261,77.131606,"[15010, 12234703, 12234704, 12234705, 15019, 14340701, 12234706, 15021, 12234707, 15027, 14717, 12234708]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25']",False,True,CPCB
5574,"City Railway Station, Bengaluru - KSPCB",,12.9756843,77.5660749,"[14779, 12235374, 12235375, 12235376, 14773, 14340832, 14775, 12235377, 14732, 12235378]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'pm10', 'pm10', 'so2', 'so2']",False,True,CPCB
5576,"Moti Doongri, Alwar - RSPCB",,27.554793,76.611536,"[12234818, 15171, 12234819, 12234820, 15160, 14341730, 17867, 12234821, 15144, 12234822, 12234823, 15131, 12234824, 14740, 12234825, 12234826, 14341731, 14341732]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB
5581,"Pusa, New Delhi - IMD",,28.610304,77.0996943,"[15266, 14800, 14752, 14851, 14853]","['co', 'no2', 'o3', 'pm10', 'pm25']",False,True,caaqm
5585,"Ashok Nagar, Udaipur - RSPCB",,24.5886166,73.6321397,"[14817, 12234880, 12234881, 14768, 12234882, 14341751, 12234883, 35446, 12234884, 14770, 12234885, 14772, 12234886, 14767, 12234887, 12234888, 14341752, 14341753]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB
5586,"Sirifort, Delhi - CPCB",,28.5504249,77.2159377,"[12234764, 12234765, 12234766, 14340707, 12234767, 12234768, 12234769, 12234770, 12234771, 12234772, 14340708, 14340709]","['co', 'no', 'no2', 'nox', 'o3', 'pm10', 'pm25', 'relativehumidity', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB
5587,"Collectorate, Jodhpur - RSPCB",,26.268249,73.0193853,"[12234809, 15211, 12234810, 15212, 12234811, 14341727, 15214, 12234812, 15225, 12234813, 12234814, 15227, 12234815, 12234816, 14774, 12234817, 14341728, 14341729]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB
5588,"RIICO Ind. Area III, Bhiwadi - RSPCB",,28.194909,76.862296,"[12234827, 12234828, 12234829, 14341733, 12234830, 12234831, 12234832, 12234833, 12234834, 12234835, 14341734, 14341735]","['co', 'no', 'no2', 'nox', 'o3', 'pm10', 'pm25', 'relativehumidity', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB
5590,"Ardhali Bazar, Varanasi - UPPCB",,25.3505986,82.9083074,"[14805, 12235482, 12235483, 14788, 12235484, 14340851, 14807, 12235485, 12235486, 14790, 12235487, 14799, 12235488, 12235489, 14797, 12235490, 14341840, 14341841]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB
